[SHEET: H24-002_MEM(R53B)_C60_UPDOWN_ZE]
H24-002_MEM(R53B)_C60_UPDOWN_Zeus_Test_PTM3.2(ADC)_COMMON2.0_6L_0x0320_V1.1 부품리스트									
번호	종류	품명	SET	수량	재고	CHECK	Ref	대체 가능품목	비고
	C0.1UF_16V_1005	C58	Bottom	53.5	100.7	180	
	C0.1UF_16V_1005	C59	Bottom	53.5	95.3	180	
	C0.1UF_16V_1005	C62	Bottom	103.3	94.5	90	
	C0.1UF_16V_1005	C112	Bottom	109.4	83.2	0	
	C0.1UF_16V_1005	C132	Bottom	95.7	84.2	90	
	C0.1UF_16V_1005	C134	Bottom	95.7	56.1	90	
	C0.1UF_16V_1005	C136	Bottom	95.7	50.6	90	
	C0.1UF_16V_1005	C138	Bottom	95.7	88.8	90	
	C0.1UF_16V_1005	C141	Bottom	95.6	35.9	270	
	C0.1UF_16V_1005	C150	Bottom	58.4	58.8	0	
	C0.1UF_16V_1005	C152	Bottom	58.4	73	0	
	C0.1UF_16V_1005	C154	Bottom	58.4	66.6	0	
	C0.1UF_16V_1005	C156	Bottom	58.4	75.3	0	
	C0.1UF_16V_1005	C158	Bottom	58.4	41.8	0	
	C0.1UF_16V_1005	C293	Bottom	130.5	53.2	90	
	C0.1UF_16V_1005	C309	Bottom	58.4	45.7	0	
	C0.1UF_16V_1005	C311	Bottom	95.6	44	270	
	C1UF_1005	C151	Bottom	58.4	59.8	0	
	C1UF_1005	C153	Bottom	58.4	72	0	
	C1UF_1005	C155	Bottom	58.4	65.6	0	
	C1UF_1005	C157	Bottom	58.4	74.3	0	
	C1UF_1005	C159	Bottom	58.4	42.8	0	
	C1UF_1005	C310	Bottom	58.4	46.7	0	
	C1UF_16V_1005	C3	Bottom	98.1	65.5	180	
	C10UF_1005	C4	Bottom	98.1	73.3	180	
	C10UF_1005	C32	Bottom	129.5	59.3	90	
	C10UF_1005	C34	Bottom	129.5	58.2	270	
	C10UF_1005	C36	Bottom	131.6	56.2	90	
	C10UF_1005	C38	Bottom	131.6	55.1	270	
	C10UF_1005	C42	Bottom	131.6	49.5	270	
	C10UF_1005	C44	Bottom	131.6	52	270	
	C10UF_1005	C294	Bottom	129.5	53.2	90	
C/C(1608)	C10UF_16V_1608	C133	Bottom	94.2	84.05	90	
	C10UF_16V_1608	C135	Bottom	94.2	55.95	90	
	C10UF_16V_1608	C137	Bottom	94.2	50.45	90	
	C10UF_16V_1608	C139	Bottom	94.2	88.65	90	
	C10UF_16V_1608	C142	Bottom	94.2	36.2	270	
	C10UF_16V_1608	C312	Bottom	94.2	44.3	270	
저항(1005)	R0_1005	R1	Bottom	126.2	77.4	180	
	R0_1005	R3	Bottom	126.2	76.4	180	
	R0_1005	R8	Bottom	126.2	69.8	180	
	R0_1005	R10	Bottom	126.2	68.7	180	
	R0_1005	R92	Bottom	97	34	90	
	R0_1005	R93	Bottom	100.4	87.4	90	
	R0_1005	R95	Bottom	100.4	54.7	90	
	R0_1005	R99	Bottom	97	43.5	90	
	R10_1005	R2	Bottom	126.2	71	180	
	R10_1005	R6	Bottom	126.2	72.2	180	
	R1K_1005	R81	Bottom	99.3	90.4	180	
	R1K_1005	R82	Bottom	94.7	81.5	0	
	R10K_1005	R88	Bottom	104.7	33.6	0	
	R10K_1005	R89	Bottom	98.8	33.6	180	
	R10K_1005	R97	Bottom	104.7	43	0	
	R10K_1005	R100	Bottom	98.8	43	180	
	R120_1005	R94	Bottom	100.4	49.2	90	
	R120_1005	R96	Bottom	100.4	82.8	90	
	R12K_1005	R87	Bottom	97	36	90	
	R12K_1005	R98	Bottom	97	45.5	90	
	R15_1005	R4	Bottom	126.2	75.2	180	
	R15_1005	R5	Bottom	126.2	74.2	180	
	R15_1005	R7	Bottom	126.2	61.3	180	
	R15_1005	R9	Bottom	126.2	60.2	180	
	R2.21K_1005	R85	Bottom	99.3	50.2	270	
	R3.57K_1005	R84	Bottom	99.3	55.7	270	
	R4.64K_1005	R86	Bottom	99.3	88.4	270	
	R4.7K_1005	R18	Bottom	51.6	92.6	270	
	R4.7K_1005	R22	Bottom	51.6	90	270	
	R4.7K_1005	R161	Bottom	104.6	63.8	90	
	R59K_1005	R11	Bottom	100.2	75.3	270	
	R59K_1005	R14	Bottom	103.7	75.3	270	
	R59K_1005	R163	Bottom	100.2	63.8	90	
	R59K_1005	R164	Bottom	102.4	63.8	90	
	R59K_1005	R166	Bottom	106.6	63.8	90	
	R6.34K_1005	R83	Bottom	99.3	83.8	270	
	R1K_1005_OPEN	R16	Bottom	105.7	75.3	270	2024.01월 미삽
	R1K_1005_OPEN	R17	Bottom	56.4	93.6	270	2024.01월 미삽
	R1K_1005_OPEN	R21	Bottom	56.4	91	270	2024.01월 미삽
	R1K_1005_OPEN	R25	Bottom	51.6	96.7	270	2024.01월 미삽
	R1K_1005_OPEN	R26	Bottom	51.6	99.3	270	2024.01월 미삽
	R1K_1005_OPEN	R27	Bottom	56.4	100.3	270	2024.01월 미삽
	R1K_1005_OPEN	R28	Bottom	56.4	97.7	270	2024.01월 미삽
	R4.7K_1005_OPEN	R12	Bottom	101.3	74.3	90	2024.01월 미삽
	R4.7K_1005_OPEN	R13	Bottom	102.5	74.3	90	2024.01월 미삽
	R4.7K_1005_OPEN	R160	Bottom	101.3	63.8	90	2024.01월 미삽
	R4.7K_1005_OPEN	R162	Bottom	105.6	63.8	90	2024.01월 미삽
	R59K_1005_OPEN	R15	Bottom	104.7	75.3	270	2024.01월 미삽
	R59K_1005_OPEN	R165	Bottom	103.5	63.8	90	2024.01월 미삽
BEAD(2012)	BLM21BB050SN1D	BD1	Bottom	93.8	75.5	180	
	BLM21BB050SN1D	BD2	Bottom	106.5	23	90	
	BLM21BB050SN1D	BD3	Bottom	105.5	105.5	180	
CONNECTOR	20525-260E-02	JCM1	Bottom	137.5	73	270	
	TM0305-P2.0B-60P	JP1	Bottom	123	20.1	180	
	TM0305-P2.0B-60P	JP2	Bottom	123	101.9	180	
	MEM_C60_UPDOWN_CUBE_POGO	J1	Bottom	33.884	69.325	270	
		Qty = 192					
	VR_DUDOWN_PTM2_COMMON_PWR	3	Bottom	108	106	180	
	TP-SMD1.0MM	TP_AUX1	Bottom	124.8	61.3	0	
	TP-SMD1.0MM	TP_CH0_1P8_1	Bottom	128.1	107.6	180	
	TP-SMD1.0MM	TP_CH0_3P3_1	Bottom	128.7	14.4	90	
	TP-SMD1.0MM	TP_CH0_5P0_1	Bottom	130.8	107.6	0	
	TP-SMD40	TP_CH0_AFGND1	Bottom	106.5	27	90	
	TP-SMD40	TP_CH0_AFGND2	Bottom	94.7	39.8	180	
	TP-SMD1.0MM	TP_CH0_CM_SYNC1	Bottom	92	61.2	0	
	TP-SMD1.0MM	TP_CH0_DOVDD_2	Bottom	121.6	107.6	0	
	TP-SMD1.0MM	TP_CH0_GND1	Bottom	106.5	21	270	
	TP-SMD1.0MM	TP_CH0_GPIO1	Bottom	132	74.7	0	
	TP-SMD1.0MM	TP_CH0_GPIO2	Bottom	133.9	73.3	0	
	TP-SMD1.0MM	TP_CH0_PVDD_2	Bottom	107.3	35	0	
	TP-SMD1.0MM	TP_CH0_SEN_SCL1	Bottom	132.1	68.8	0	
	TP-SMD1.0MM	TP_CH0_SEN_SDA1	Bottom	133.6	70.1	0	
	TP-SMD1.0MM	TP_CH0_SHDN1	Bottom	132.1	72.1	0	
	TP-SMD1.0MM	TP_CH0_SOC_SCL1	Bottom	134.9	76.4	0	
	TP-SMD1.0MM	TP_CH0_SOC_SDA1	Bottom	132	76.3	0	
	TP-SMD1.0MM	TP_CH0_SVDD_2	Bottom	107.3	44.5	0	
